"LINK CODE","ADVERTISER","LINK TYPE","LINK NAME","START DATE","END DATE","LINK ID"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=931983.4&subid=0&type=4""><IMG border=""0""   alt=""H Drop"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=931983.4&subid=0&type=4&gridnum=0""></a>","H Drop","Banner","Logo 1","05-24-2021 12:15 GMT","Auto-Renew","4"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=931983.5&subid=0&type=4""><IMG border=""0""   alt=""H Drop"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=931983.5&subid=0&type=4&gridnum=0""></a>","H Drop","Banner","Logo 2","05-24-2021 12:15 GMT","Auto-Renew","5"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=931983.6&subid=0&type=4""><IMG border=""0""   alt=""H Drop"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=931983.6&subid=0&type=4&gridnum=0""></a>","H Drop","Banner","Logo 3","05-24-2021 12:23 GMT","Auto-Renew","6"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=931983.7&subid=0&type=4""><IMG border=""0""   alt=""H Drop"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=931983.7&subid=0&type=4&gridnum=0""></a>","H Drop","Banner","Logo 4","05-24-2021 12:23 GMT","Auto-Renew","7"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=931983.8&subid=0&type=4""><IMG border=""0""   alt=""H Drop"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=931983.8&subid=0&type=4&gridnum=0""></a>","H Drop","Banner","Logo 5","05-24-2021 12:23 GMT","Auto-Renew","8"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=931983.9&subid=0&type=4""><IMG border=""0""   alt=""H Drop"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=931983.9&subid=0&type=4&gridnum=0""></a>","H Drop","Banner","Logo 6","05-24-2021 12:23 GMT","Auto-Renew","9"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=931983.10&subid=0&type=4""><IMG border=""0""   alt=""H Drop"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=931983.10&subid=0&type=4&gridnum=0""></a>","H Drop","Banner","Logo 7","05-24-2021 12:28 GMT","Auto-Renew","10"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=931983.11&subid=0&type=4""><IMG border=""0""   alt=""H Drop"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=931983.11&subid=0&type=4&gridnum=0""></a>","H Drop","Banner","Logo 8","05-24-2021 12:28 GMT","Auto-Renew","11"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=931983.12&subid=0&type=4""><IMG border=""0""   alt=""H Drop"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=931983.12&subid=0&type=4&gridnum=0""></a>","H Drop","Banner","Logo 9","05-24-2021 12:28 GMT","Auto-Renew","12"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=931983.23&subid=0&type=4""><IMG border=""0""   alt=""H Drop"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=931983.23&subid=0&type=4&gridnum=0""></a>","H Drop","Banner","Logos","05-24-2021 12:29 GMT","Auto-Renew","23"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=931983.22&subid=0&type=4""><IMG border=""0""   alt=""H Drop"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=931983.22&subid=0&type=4&gridnum=0""></a>","H Drop","Banner","Logos","05-24-2021 12:29 GMT","Auto-Renew","22"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=931983.21&subid=0&type=4""><IMG border=""0""   alt=""H Drop"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=931983.21&subid=0&type=4&gridnum=0""></a>","H Drop","Banner","Logos","05-24-2021 12:29 GMT","Auto-Renew","21"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=931983.20&subid=0&type=4""><IMG border=""0""   alt=""H Drop"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=931983.20&subid=0&type=4&gridnum=0""></a>","H Drop","Banner","Logos","05-24-2021 12:29 GMT","Auto-Renew","20"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=931983.19&subid=0&type=4""><IMG border=""0""   alt=""H Drop"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=931983.19&subid=0&type=4&gridnum=0""></a>","H Drop","Banner","Logos","05-24-2021 12:29 GMT","Auto-Renew","19"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=931983.14&subid=0&type=4""><IMG border=""0""   alt=""H Drop"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=931983.14&subid=0&type=4&gridnum=0""></a>","H Drop","Banner","Logos","05-24-2021 12:29 GMT","Auto-Renew","14"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=931983.17&subid=0&type=4""><IMG border=""0""   alt=""H Drop"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=931983.17&subid=0&type=4&gridnum=0""></a>","H Drop","Banner","Logos","05-24-2021 12:29 GMT","Auto-Renew","17"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=931983.16&subid=0&type=4""><IMG border=""0""   alt=""H Drop"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=931983.16&subid=0&type=4&gridnum=0""></a>","H Drop","Banner","Logos","05-24-2021 12:29 GMT","Auto-Renew","16"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=931983.15&subid=0&type=4""><IMG border=""0""   alt=""H Drop"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=931983.15&subid=0&type=4&gridnum=0""></a>","H Drop","Banner","Logos","05-24-2021 12:29 GMT","Auto-Renew","15"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=931983.13&subid=0&type=4""><IMG border=""0""   alt=""H Drop"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=931983.13&subid=0&type=4&gridnum=0""></a>","H Drop","Banner","Logos","05-24-2021 12:29 GMT","Auto-Renew","13"
"<a href=""https://click.linksynergy.com/fs-bin/click?id=I5F1xigOIMk&offerid=931983.18&subid=0&type=4""><IMG border=""0""   alt=""H Drop"" src=""https://ad.linksynergy.com/fs-bin/show?id=I5F1xigOIMk&bids=931983.18&subid=0&type=4&gridnum=0""></a>","H Drop","Banner","Logos","05-24-2021 12:29 GMT","Auto-Renew","18"
